industry,n_firms,beta_levered,cost_of_equity,equity_pct,std_dev,pretax_cod,tax_rate,aftertax_cod,debt_pct,wacc
Advertising,52.0,1.2105,9.35,71.33,62.91,5.29,5.02,3.97,28.67,7.81
Aerospace/Defense,79.0,0.9455,8.17,86.53,46.45,5.29,11.58,3.97,13.47,7.6
Air Transport,23.0,1.1855,9.24,52.31,59.0,5.29,8.29,3.97,47.69,6.72
Apparel,35.0,0.9359,8.12,76.17,46.26,5.29,9.61,3.97,23.83,7.13
Auto & Truck,33.0,1.4565,10.45,83.55,61.83,5.29,3.74,3.97,16.45,9.38
Auto Parts,35.0,1.3394,9.92,70.69,49.87,5.29,15.0,3.97,29.31,8.18
Bank (Money Center),15.0,0.761,7.34,37.85,22.74,4.73,18.43,3.55,62.15,4.98
Banks (Regional),568.0,0.3985,5.73,65.75,22.68,4.73,17.61,3.55,34.25,4.98
Beverage (Alcoholic),14.0,0.8125,7.57,69.76,55.96,5.29,12.35,3.97,30.24,6.48
Beverage (Soft),27.0,0.6415,6.81,82.93,57.89,5.29,6.85,3.97,17.07,6.33
Broadcasting,24.0,0.4708,6.05,53.81,46.62,5.29,7.73,3.97,46.19,5.09
Brokerage & Investment Banking,32.0,1.1715,9.17,42.45,36.61,5.07,15.27,3.8,57.55,6.08
Building Materials,41.0,1.1115,8.91,79.37,35.28,5.07,18.02,3.8,20.63,7.85
Business & Consumer Services,155.0,0.888,7.91,83.53,41.11,5.07,10.38,3.8,16.47,7.23
Cable TV,9.0,0.7407,7.25,40.5,44.04,5.07,10.64,3.8,59.5,5.2
Chemical (Basic),29.0,1.0122,8.46,50.16,45.81,5.29,7.68,3.97,49.84,6.22
Chemical (Diversified),4.0,0.8507,7.74,36.22,39.04,5.07,0.0,3.8,63.78,5.23
Chemical (Specialty),59.0,0.9698,8.28,76.99,42.31,5.07,13.68,3.8,23.01,7.25
Coal & Related Energy,16.0,1.071,8.73,93.33,64.31,5.29,3.12,3.97,6.67,8.41
Computer Services,64.0,1.0879,8.8,79.94,53.43,5.29,10.53,3.97,20.06,7.83
Computers/Peripherals,36.0,1.3503,9.97,95.58,54.58,5.29,5.91,3.97,4.42,9.71
Construction Supplies,40.0,1.1504,9.08,85.02,35.51,5.07,16.04,3.8,14.98,8.29
Diversified,20.0,0.881,7.88,86.54,28.41,4.73,2.76,3.55,13.46,7.3
Drugs (Biotechnology),496.0,1.1353,9.01,88.46,75.68,6.02,1.08,4.51,11.54,8.49
Drugs (Pharmaceutical),228.0,0.9828,8.33,87.31,76.64,6.02,2.99,4.51,12.69,7.85
Education,32.0,0.7809,7.43,80.4,47.24,5.29,15.54,3.97,19.6,6.75
Electrical Equipment,112.0,1.2511,9.53,89.28,72.71,6.02,4.82,4.51,10.72,8.99
Electronics (Consumer & Office),8.0,0.866,7.81,94.51,70.18,6.02,0.0,4.51,5.49,7.63
